,prov,meal,code
0,北京市,1、爆肚,北京
0,北京市,2、卤煮火烧,北京
0,北京市,3、老北京炸酱面,北京
0,天津市,4、老爆三,天津
0,天津市,5、贴饽饽熬小鱼,天津
0,天津市,6、狗不理包子,天津
0,上海市,7、蟹壳黄,上海
0,上海市,8、响油鳝糊,上海
0,上海市,9、鸡肉生煎馒头,上海
0,重庆市,10、重庆小面,重庆
0,重庆市,11、重庆火锅,重庆
0,重庆市,12、重庆辣子鸡,重庆
0,重庆市,13、酸辣粉,重庆
0,内蒙古自治区,14、手扒肉,内蒙
0,内蒙古自治区,15、涮羊肉,内蒙
0,内蒙古自治区,16、烤全羊,内蒙
0,内蒙古自治区,17、蒙古血肠,内蒙
0,新疆维吾尔自治区,18、烤羊肉串,新疆
0,新疆维吾尔自治区,19、大盘鸡,新疆
0,新疆维吾尔自治区,20、抓饭,新疆
0,宁夏回族自治区,21、羊杂碎,宁夏
0,宁夏回族自治区,22、羊肉手抓,宁夏
0,宁夏回族自治区,23、辣爆羊羔肉,宁夏
0,西藏自治区,24、芽豆藏香猪,西藏
0,西藏自治区,25、鲁朗石锅鸡,西藏
0,西藏自治区,26、风干牛羊肉,西藏
0,广西壮族自治区,27、烤乳猪,广西
0,广西壮族自治区,28、五色糯米饭,广西
0,广西壮族自治区,29、老友粉,广西
0,黑龙江省,30、得莫利炖活鱼,黑龙
0,黑龙江省,31、哈尔滨红肠,黑龙
0,黑龙江省,32、杀猪菜,黑龙
0,吉林省,33、鲶鱼烧茄子,吉林
0,吉林省,34、酸菜猪肉炖粉条,吉林
0,吉林省,35、熏肉大饼,吉林
0,辽宁省,36、咸鱼饼子,辽宁
0,辽宁省,37、沟帮子熏鸡,辽宁
0,辽宁省,38、大连,辽宁
0,河北省,39、驴肉火烧,河北
0,河北省,40、万字扣肉,河北
0,河北省,41、御土荷叶鸡,河北
0,河南省,42、烩面,河南
0,河南省,43、胡辣汤,河南
0,河南省,44、鲤鱼焙面,河南
0,山东省,45、济南九转大肠,山东
0,山东省,46、把子肉,山东
0,山东省,47、淄博博山豆腐箱,山东
0,山东省,48、枣庄辣子鸡,山东
0,山西省,49、刀削面,山西
0,山西省,50、平遥牛肉,山西
0,山西省,51、过油肉,山西
0,陕西省,52、羊肉泡馍,陕西
0,陕西省,53、腊汁肉夹馍,陕西
0,陕西省,54、安康蒸面,陕西
0,陕西省,55、岐山臊子面,陕西
0,甘肃省,56、兰州清汤牛肉面,甘肃
0,甘肃省,57、百花全鸡,甘肃
0,甘肃省,58、酿皮子,甘肃
0,四川省,59、担担面,四川
0,四川省,60、回锅肉,四川
0,四川省,61、麻婆豆腐,四川
0,四川省,62、钵钵鸡,四川
0,青海省,63、互助葱花土鸡,青海
0,青海省,64、麻食,青海
0,湖南省,65、口味虾,湖南
0,湖南省,66、剁椒鱼头,湖南
0,湖南省,67、湘西三下锅,湖南
0,湖北省,68、排骨藕汤,湖北
0,湖北省,69、清蒸武昌鱼,湖北
0,湖北省,70、红菜苔炒腊肉,湖北
0,江西省,72、瓦罐汤,江西
0,江西省,73、鳅鱼钻豆腐,江西
0,江西省,74、三杯鸡,江西
0,安徽省,75、臭鳜鱼,安徽
0,安徽省,76、小龙虾,安徽
0,安徽省,77、淮南牛肉汤,安徽
0,安徽省,78、一品锅,安徽
0,浙江省,79、咸菜大汤黄鱼,浙江
0,浙江省,80、黄鱼鲞烤猪肉,浙江
0,浙江省,81、竹笋炖排骨,浙江
0,福建省,82、豆腐饺,福建
0,福建省,83、姜母鸭,福建
0,福建省,84、海蛎煎,福建
0,广东省,85、白切鸡,广东
0,广东省,86、潮汕牛肉丸,广东
0,广东省,87、荔湾艇仔粥,广东
0,广东省,88、横岗腊鸭,广东
0,贵州省,89、稻草排骨,贵州
0,贵州省,90、酸汤鱼,贵州
0,贵州省,91、丝娃娃,贵州
0,云南省,92、云南三剁,云南
0,云南省,93、野生菌火锅,云南
0,云南省,94、过桥米线,云南
0,海南省,95、文昌鸡,海南
0,海南省,96、东山羊,海南
0,海南省,97、抱罗粉,海南
0,江苏省,98、羊方藏鱼,江苏
0,江苏省,99、盐水鸭,江苏
0,江苏省,100、松鼠鳜鱼,江苏
